symbol,ID001,ID002,ID003,ID004,ID005,ID006,ID007,ID008,ID009
TMEM190,6.883053177,6.852161612,6.859130812,6.699421412,6.859394454,7.360380569,6.919586879,7.029683667,7.012054757
GAS2L2,7.721721154,7.421812436,7.380160444,7.757052603,7.599657779,7.887046076,7.720148299,7.636880438,7.542358258
KCNG4,7.186292513,7.341997864,6.776115842,7.009917636,6.70717405,6.744704068,6.962732578,6.734218805,6.696054372
PXT1,5.961882698,6.035526214,5.721354246,6.042252562,6.031827918,5.791199003,5.927984293,5.885445804,6.152573224
CACNG5,7.111235445,7.401731923,7.162575462,7.640549064,7.624423799,7.255353442,7.478282086,7.295010576,7.283461347
LINC00308,6.244000692,6.20292369,6.326374748,6.440248497,6.29538213,6.393328298,6.421268463,6.257836168,6.367342573
WFDC11,6.73111811,6.300992351,6.564802541,6.486601929,6.428989481,6.504511068,6.785750081,6.558795219,7.083551358
JAK1,9.530451429,9.815958829,10.15466305,9.255047301,9.762554139,9.800759639,9.20248091,9.950393494,9.921179223
CDC42SE2,9.701695319,10.48867535,9.027751621,8.544390185,8.694148945,9.243372116,9.110118823,8.683665758,8.851173282
ACACB,9.459466523,9.534987952,8.972235908,9.799003125,9.897864085,9.12622314,9.376759024,9.418911286,9.035695342
COP1,9.225413322,9.286082971,9.313485318,8.960538662,9.091921792,9.236537647,9.521522865,9.242643722,9.876814678
STX6,8.671417332,8.559271973,8.742243383,8.59575651,8.857145163,9.007207598,8.590756134,8.817325858,8.531099504
ANLN,9.506217645,6.397322248,9.496796695,7.822489455,8.031626793,9.49951609,9.893391384,8.833701959,8.198222199
SPRR4,9.091669842,9.336499742,8.766099884,9.934143987,9.481954597,8.940416722,9.284533542,8.962560573,8.729592626
HSH2D,6.071334493,6.398451538,6.049584758,6.35355202,6.278796924,6.342156997,6.61904537,6.47379364,6.535690093
TRNT1,7.41416479,7.245234785,8.066851862,6.941774478,7.759475818,7.469068758,7.462041458,7.207733282,7.453536617
TMEM163,6.846521739,6.556305895,6.99632322,6.706959778,7.301995741,6.82010712,6.982717039,7.399516122,6.949539122
ARHGAP5,7.988507237,8.214519504,8.521139602,6.910867595,8.223897772,7.437762226,6.951011858,7.737680009,7.491921671
HERPUD2,9.282341505,9.1792373,9.23514528,9.148743025,8.839675866,8.776248998,8.89588919,9.171059294,9.245335966
JMJD6,6.253797991,6.310883719,6.091033152,6.274430625,6.449933119,6.040995562,6.312477903,6.38914424,6.176015975
SRCAP,6.700859825,6.341390041,6.462067455,6.648034268,6.532486266,7.014853814,6.69031602,6.843859603,6.52129006
MAP3K6,6.563894478,6.67781297,6.689110705,6.488493316,6.963888176,6.900965509,6.719262846,7.235869778,6.661466043
ARSG,5.907143205,6.095011851,6.242498554,5.963358889,6.372598779,6.294535031,6.324153078,6.199693271,6.680904617
ZNF101,6.36404759,6.119573101,6.134528393,5.672871627,5.58032056,6.108005757,6.180637364,5.644086084,6.481882342
PTPN11,4.793316807,5.058316883,4.642766344,5.320631249,5.051301214,5.121257524,4.974079874,4.917998183,4.638090868
KLHDC7B,6.495928632,6.496161053,6.510775902,6.377774547,6.347581038,6.514100356,6.403788835,6.62104105,6.665283187
ZNF626,6.649008307,6.875131088,6.365611135,6.298457244,6.83369777,6.31692017,6.509539925,6.391464806,6.392828139
PHC3,5.564316138,5.685594587,6.012584283,5.597809066,5.489922708,5.954442533,5.543204195,5.729681934,5.824780257
IL11RA,7.984074607,8.443212247,7.971323423,8.692535167,8.467416769,7.90135149,8.252087267,8.2116309,7.935251103
TNFRSF10A,7.403126261,7.218024461,7.967926639,7.410415431,7.389509121,7.834811428,7.720368527,7.892078333,7.401526926
HPS4,7.41170711,7.166133547,6.887707315,7.470502946,7.096449328,6.959303155,7.351188828,7.284064729,7.01675655
UHMK1,8.48725246,8.795835618,8.532044471,8.78438823,8.87954368,8.356758304,8.275628553,8.233706265,7.734847963
TXNDC2,7.879423254,7.536396423,7.279610918,7.999578291,7.920210978,7.730662718,7.967969706,7.46925237,7.641645174
NAV3,5.1673591,4.729277119,5.001163234,4.932162849,4.962653359,4.807379413,4.67824091,4.762488482,4.983318655
C5orf22,8.741362058,8.594285329,8.222869724,7.555220613,8.044138186,7.839504101,7.618670501,8.210614993,7.897674691
PCDHGB7,3.499935807,3.480895402,3.491309955,3.544646142,3.582935435,3.5132615,3.538337203,3.510069634,3.561779529
ERC1,8.70955129,8.834201043,8.345609283,8.834843761,9.081031837,8.623887859,8.848843647,8.517415248,8.173426873
FLCN,6.80605786,6.831393429,7.355724478,6.720347565,6.408838794,6.793574646,6.083142082,6.772568423,6.532248189
JMJD1C-AS1,6.941499776,7.208244852,6.599114812,6.730979315,6.665983346,6.858368808,6.802745078,6.97210217,6.954458237
LRRC7,4.471333314,4.339603629,4.161691229,4.53125741,4.408089733,4.373918762,4.240105349,4.442333767,4.203449858
SH2D3C,6.408324723,6.399783553,6.722075228,6.603045803,7.011021148,6.876658178,6.677913367,7.281029084,6.650516008
PPP1R3B,6.257818113,6.074185097,5.867303064,6.015495712,5.972646295,6.062526541,6.118757769,6.082847926,6.331735304
SLC9A7,6.649428484,6.488577736,6.933355481,6.884844259,6.819133732,6.571728183,6.715089931,6.819417834,6.997039854
IGSF3,7.476818433,7.581340941,7.251413609,7.304882089,7.333951651,7.172633296,7.296905426,7.260685082,7.296705986
RFX6,5.187934299,5.270265601,4.366000402,4.747238835,5.394229749,4.404313144,4.877689786,4.83617197,4.455801912
