X1,X2
CENPA,CLASP1
CENPA,CLASP2
CENPM,PPP1CC
MDC1,RPS27A
RNF168,TP53BP1
DYNC1I1,ITGB3BP
HUS1,RAD1
CENPL,NUP107
AURKB,XPO1
ANAPC5,BUB1B
PSMC2,TP53
CHEK2,UBE2N
CKAP5,DYNC1I2
CKAP5,DYNC1I1
MAPRE1,NUDC
ATM,RAD9A
BUB1B,DYNC1H1
ATM,RAD9B
DYNC1I2,SKA1
DYNC1I2,SKA2
CLIP1,RANBP2
CENPQ,CLIP1
CLIP1,NUF2
UBC,UBE2N
CENPN,RANBP2
BLM,TOPBP1
CLASP2,NDEL1
HIST1H4A,PIAS4
AURKB,CKAP5
CENPL,PLK1
KDM4B,UBE2I
KDM4B,UBE2N
CLIP1,NUDC
DYNC1LI1,NUP98
NDC80,RANGAP1
CDC20,MAD2L1
CENPL,NDEL1
PSMC5,PSMD13
ATR,RBBP8
PSMC5,PSMD12
NUDC,PPP1CC
PSMB8,UBB
PSMC5,PSMD14
PSMB3,UBA52
PSMB8,UBC
TOPBP1,WRN
CENPT,DYNC1LI2
CENPT,DYNC1LI1
RMI1,TOPBP1
PSMC5,PSMD11
PSMC5,PSMD10
CLASP2,KIF2C
CENPL,KIF2A
CLASP2,KIF2B
CENPL,KIF2B
CLASP2,KIF2A
PSMD3,RPS27A
DYNC1LI1,NUP85
CENPL,KIF2C
RANGAP1,XPO1
DYNC1H1,PMF1
NUP43,ZWILCH
RAD1,RPA1
KIF2C,NUP160
RAD1,RPA2
RAD1,RPA3
CKAP5,RANGAP1
DYNC1LI1,MAPRE1
PSMA5,PSME3
RANGAP1,ZW10
PSMA5,PSME4
PSMA5,PSME1
RPA3,TOPBP1
CDC25C,SFN
ANAPC7,CDC20
BUB1B,KNTC1
MAD1L1,MAD2L1
BUB1B,ERCC6L
ANAPC7,CDC23
ANAPC7,CDC27
ANAPC7,CDC26
KNTC1,PAFAH1B1
PSMA5,PSMF1
KIF2C,NUP107
HIST3H3,RPS27A
CDC25A,RPS27A
ANAPC7,CDC16
KIF2C,NUP133
BRIP1,TOPBP1
H2AFX,RPS27A
KNTC1,ZWILCH
CENPI,INCENP
DYNC1LI1,NUP43
CLIP1,MAPRE1
CENPN,PMF1
CKAP5,MAPRE1
BUB3,CLIP1
BRCC3,CHEK2
KIF18A,NUP37
DYNC1LI1,ERCC6L
AURKB,DYNC1LI2
B9D2,ZW10
AURKB,DYNC1LI1
CENPE,SEH1L
KIF2C,SKA1
KIF2C,SKA2
ANAPC11,MAD2L1
HERC2,HIST1H4A
DYNLL1,NSL1
BUB3,NDC80
PSMB8,PSMC3
PSMB8,PSMC2
PSMB8,PSMC5
PSMB8,PSMC4
CDC20,KIF2A
PSMB8,PSMC6
CDC20,KIF2B
B9D2,NSL1
NUP37,PMF1
KAT5,RAD1
RNF168,UBC
MAPRE1,NDC80
RNF168,UBB
DYNC1LI1,KIF18A
CDC20,KIF2C
PSMB8,PSMC1
BUB1B,ZWILCH
PSMD12,RPS27A
PSMB8,PSMB9
NUP98,RCC2
BUB1B,PPP1CC
BUB1,BUB1B
DYNLL1,ZW10
MIS12,NSL1
CDC20,NDEL1
PSMC4,UBA52
PSMB8,PSME4
CENPH,KIF18A
PSMA8,TP53
CENPO,SEH1L
AHCTF1,PAFAH1B1
CENPN,KIF2C
CENPN,KIF2A
CENPN,KIF2B
PSMB8,PSME1
DSN1,RANBP2
PSMB8,PSME3
PSMB8,PSMD4
PSMB8,PSMD3
NUP43,SKA1
PSMB8,PSMD6
NUP43,SKA2
PSMB8,PSMD5
PSMB8,PSMD8
PSMB8,PSMD7
PSMB8,PSMD9
ATM,TP53
CENPT,RCC2
BUB3,MAPRE1
MDC1,UBC
MAD1L1,ZWILCH
PSMB8,PSMD2
PSMB8,PSMD1
MDC1,UBB
PSMA8,UBB
PSMA8,UBC
PMF1,SEH1L
CDC20,RCC2
BUB3,RANBP2
